date_utc,block,tx_hash,type,from_label,to_label,amount_BYKO,amount_USDC,price,note
2026-08-02 06:13:41,49430937,0xeac11a3210328c21d1c96bb1c7dafbfdcb2f4a51b510049fa3cdf232b64b9378,MINT,ZERO/mint,BYKO Deployer,790227.000000,nd,nd,""
2026-08-02 10:48:05,49439169,0xc1ea5195a255df6ad0439b106fcd575a3e98fc2d43b3a94adb7935f45b3337f2,LP_ADD,BYKO Deployer,LP(BYKO/USDC),740227.000000,74.022700,0.00010000,"BYKO+USDC in"
2026-08-02 11:47:25,49440949,0xa2d3f3382629681397a66b21cd678e100647f950bddb9e7dfd45caff2d1e98f0,SWAP_BUY,LP(BYKO/USDC),external:0x7747f8d2a76bd6345cc29622a946a929647f2359,7776.319967,0.788252,0.00010137,""
2026-08-02 11:47:25,49440949,0xa2d3f3382629681397a66b21cd678e100647f950bddb9e7dfd45caff2d1e98f0,TRANSFER,external:0x7747f8d2a76bd6345cc29622a946a929647f2359,BYKO Buyer -r,7776.319967,nd,nd,""
2026-08-02 15:07:57,49446965,0x73c6e30e895997d98b04439e686864f2a01f8b7ac87761f977e1a0b3c0495d77,SWAP_BUY,LP(BYKO/USDC),external:0x09ad820aac5779683b481c4674208a4e1b024afa,8659.888283,0.897750,0.00010367,""
2026-08-02 15:07:57,49446965,0x73c6e30e895997d98b04439e686864f2a01f8b7ac87761f977e1a0b3c0495d77,TRANSFER,external:0x09ad820aac5779683b481c4674208a4e1b024afa,external:0x20f6ee51340adeed01a59b0e65cb3703f3dc860c,8659.888283,nd,nd,""
2026-08-02 15:07:57,49446965,0x73c6e30e895997d98b04439e686864f2a01f8b7ac87761f977e1a0b3c0495d77,TRANSFER,external:0x20f6ee51340adeed01a59b0e65cb3703f3dc860c,BYKO Deployer,8659.888283,nd,nd,""
2026-08-02 17:04:17,49450455,0xbb48d504cf979cac7da2fcbb713af1fed7e7bcdf4f082069453cab6539c4fcd6,SWAP_BUY,LP(BYKO/USDC),external:0x09ad820aac5779683b481c4674208a4e1b024afa,9385.046505,0.997500,0.00010629,""
2026-08-02 17:04:17,49450455,0xbb48d504cf979cac7da2fcbb713af1fed7e7bcdf4f082069453cab6539c4fcd6,TRANSFER,external:0x09ad820aac5779683b481c4674208a4e1b024afa,external:0x20f6ee51340adeed01a59b0e65cb3703f3dc860c,9385.046505,nd,nd,""
2026-08-02 17:04:17,49450455,0xbb48d504cf979cac7da2fcbb713af1fed7e7bcdf4f082069453cab6539c4fcd6,TRANSFER,external:0x20f6ee51340adeed01a59b0e65cb3703f3dc860c,BYKO Ops,9385.046505,nd,nd,""
2026-08-03 20:49:59,49500426,0x9bfd2a4a4ba5a51bb5329747294de9085b133ee677e1d4f410df7739bdf01d4a,SWAP_BUY,LP(BYKO/USDC),external:0x09ad820aac5779683b481c4674208a4e1b024afa,9144.779182,0.997500,0.00010908,""
