rank,address,wallet,buy_tx,buy_block,usdc,venue,nonce,eth
1,0xc1323d5de5974817f0de655c06fc4f4f156ca1ee,delegated,0xc7139e346717d83a751fd890583f6b5442d31bbe103bd092464545f04fce5997,50145027,1000,LI.FI diamond,954,0.00077007537417546
2,0xe08d0661f59cc0dcdc142276e7b357761323c75b,delegated,0xe528370cd1af5ee8fcf2aeb9cc52f7025272fd70cf8d7d3c31cfad0393736a1f,50144665,1000,LI.FI diamond,18,0.000365755510866983
3,0x48b576c87e788a762d6f95a456f2a39113b46950,delegated,0x8cddff11ab8ef4facfec6c90a04acdc09b2690fce779c4c4d01ce5957db12067,50144616,358.939332,LI.FI diamond,3060,0.001967740400378931
4,0xc81142343e68f11f136ffc60f275c1c4b359a54f,delegated,0x4e88a9d981611be5280d3f2acb03f425882af03035541f32b9422e3adc4f0894,50144315,4000,LI.FI diamond,1799,2.5455402631e-8
5,0x6fe52471eb2dc55ecd5ec01a6c8e2efd8b2b74df,delegated,0xd46575c30faa2e3654047cbc726f50addd5c9b97df3b74d2b45557ae1d7bfe07,50144025,500,LI.FI diamond,5438,0.12040966796468795
6,0x4819ee8d1b98bf3136121568ac6158c12e06e448,delegated,0x3f89e93c72341e1a4848d004bbf03e62888f1501ec04481e2133328de5809dfa,50143561,9040.252925,LI.FI diamond,25,0.006369276252146062
7,0xfe36034b78935af1692eadb933e1775486aaa1bd,plain,0xeffd7d26fdac9e9eaa176f44aadc83b1cf9fd27cfd427fe0af483ff38936724d,50143309,500.085144,LI.FI diamond,300,0.014988516156085492
8,0x8b8f3ceebbf3181f99b8818c58872b05c0ab89d1,plain,0x35eee2cc43c5053edc7796b54bb3413b9d8c0c5f8a006236fdeb59c3446f132a,50137784,411.493843,LI.FI diamond,2225,0.002662932521457813
9,0x4a34a371d650194af7961fbf32bbc7b4bf878a1f,delegated,0xf214fb38013429c1839c4f000ae238b410bfa188e448a36321ac1ac74f391d84,50137689,3000,LI.FI diamond,1173,0.00090102016644096
10,0x717a6d309dd16b828c219fce962efb76c02a11f6,delegated,0xc7db069f2b7231830e5271b060939d9a75a577b6e79bea1d3053c098316ff566,50137454,5000,LI.FI diamond,67,0.02855404979337768
11,0xda9c4895cfe71cd57c88acc5dd5e5edfcb78f046,plain,0xe8e3de194c5863da50208dd35afbd4908c19bec7d56c6801b477c9a0f31bf9e1,50137185,294.447699,LI.FI diamond,315,0.003871766387452916
12,0xa44248bee787b258f3cd16ac61c30c9b08d1ebd1,delegated,0x1e5bbbc3181fe16548d2711151f81160b0a7e3d607a9d1dca7b6e1d9630c8353,50137086,300,LI.FI diamond,124,0.003555977863548248
13,0xaf2b99f207679df8961adba7fc466914efb448af,plain,0xae7aeec47d79b29993c3b415cf108daeb8f34a8b9dc0a6c767dffa57773e4eb5,50136921,928.7682,LI.FI diamond,5,0.000043308567179466
14,0x5b8c3603b256e8e219f616da98f3799f546df968,delegated,0x0b13ffba2b531305663661b727a27aa7183a12d5ba85d3a8fd908f640dc71419,50136849,949.103912,LI.FI diamond,25,0.000385120392979613
15,0x897d7bccff0b76ab58087b53d44d070fad4eedd0,delegated,0x289bb2c490c7cb0c5fc9379098ab851c94735b669f87a9185df43e61502ba221,50136244,2496.878322,LI.FI diamond,298,0.000116908846119923
16,0x7800d300c40f1f6f4441094d1ecc4610011d9700,delegated,0x89a79f3b77682b3c51d3d43679534f8caabe79ce8288ec924620ca98cb2681d0,50135831,1499.8,LI.FI diamond,16,0.000203267016192174
17,0x6fe3c3086cb0e7253823e57a62b157cd7e2ffb32,plain,0xbebe07c69535db0a81df91b4f21f73553a220575964456ef1e083c9d24eb85a0,50135820,384.00488,LI.FI diamond,11,0.000597982275688559
18,0xf0e9b1a4d6e911a7250a02e55087c34e10488610,delegated,0x04cf778a8fbc032e0ac9f1f856deac7b066d7d9e56acbb84267ec1536d38aa8a,50135703,715.373258,LI.FI diamond,14,0.000175915893752621
19,0xc689e09c903232698543ff916632f0cf2a7c659c,delegated,0x925e94c02715ce744e6c8169c55047d866460aa6248d85530ed54fd0f5e105c1,50135527,1000,LI.FI diamond,121,0.005286161088027
20,0x0d2a8109e4a4572788210e01c45355ff5642d826,plain,0xe5ae36164a165389bf863a6420bf41cae3834468870ffc83c70d5923d41718d1,50135470,320.000196,LI.FI diamond,110,0.012887372691737953
21,0x29427c466fb845a8db438d7b61d8751ac267ddeb,delegated,0xa30294dbbfb7d77f07b11310358b55d98d41dedef348be0c106d807ebb1ddae9,50135317,350,LI.FI diamond,17,1.0474080841047226
22,0x928d8cba9f185bca63bbc09d1374d7211d80ec3c,plain,0x25da72c396ec63889ddf51aa02163c13fd788047b8b8e344c4e76038a21829d6,50135169,1209.322174,LI.FI diamond,318,0.002724764806849323
23,0xbf4885d263179bbca143721d881e0ae39b4792ec,delegated,0xeceadc5cc44ce5e6889cd1cfc21ecb86834e7590701fe9e776db49c4681f84e8,50135106,1110.163176,LI.FI diamond,8,0.000563975839447706
24,0x3b74b510123570e1ad832a831638b531bda08814,delegated,0x9a8663e579b317e59a3681e4f032de98199e4eb49b50a0dad216de7a275503e9,50134512,1300.092593,LI.FI diamond,526,0.000202395321763851
25,0x2a0b5edb94da761d0a25efeb7563824470c6dbf1,delegated,0x8fe63ff2625019305cf7dbb75203d377f274cd4ab11b9adb60f80db781bb0dff,50133891,1055.901954,LI.FI diamond,70,0.001575674823170601
26,0x76fff71649a42a2468b1f785c0ba5874c77e37dc,delegated,0xedf4f3bf8a1ecb21f0e63ec5c5e54c508b1e27f34e6c46a8e936aa6fc1a75e1b,50133761,567.122845,Socket gateway,6,5.018646157e-9
27,0xfac9aeff982c746e959ced5c9309f01b89e0a3af,delegated,0xb79bb3429842421cf629700ff3360eb711b1b2e39f7c5c8c85c754b4cecc9b7b,50133562,300,LI.FI diamond,176,0.02718499273857001
28,0xc77d9deb0635a45beefd2b890e48dcca40509661,plain,0xa40292f28ccf0aa7c2bb466d87da657ed2251ad24ca74a493b7ecac83e41735a,50133455,1010.686223,LI.FI diamond,9,0.012838656147842471
29,0xef45244f462cc384cce89fded30f95fec587cf7d,delegated,0xe8165b55ae04698622b581aa2ba99da8cf1e47b92e8b3010e87fa13ec492f5f9,50133225,2011.307856,LI.FI diamond,3394,0.32810233723421744
30,0x9966956efc8576cf50dc7d21d712b258afd39b29,delegated,0x90156f99d4a7107d98c33ee2784f1c67dcca0dc109f431b370a48cbdc9efc179,50133190,236.609795,LI.FI diamond,796,0.0011573002871813
31,0x04254b5cffbc1be88f6bba449833574afd7579aa,delegated,0x388b8f099876ffdbae1dfb739b434a06ee5583b6efb80a12139652812ff987dd,50133055,2000,LI.FI diamond,147,0.000325011136312474
32,0x7072ab3af08b0abed638f3dfb7400692633b29fd,plain,0x12e86b4a45fcfdea0d6166cbcdf98b48e19b3b53bde48399de47d45ffb8dfea1,50132621,1001.514448,LI.FI diamond,265,0.007537498881532272
33,0x90259d766a167b7611c0a094693a290e059cfa3d,delegated,0x1b221411387a2be09452ff958d7a91ea62e8a39740c0950531ae614576c44dac,50132483,500,LI.FI diamond,6,0.00009876230534331
34,0x9c2670e9224b0e39ca531a1a76cda9e616b5b9bd,delegated,0x2a6e2959c9dc046bf71b43548e333687761b77757797783f258090d21e3011ef,50132423,779.928418,LI.FI diamond,402,0.010658605175293477
35,0xd43f0f7315701f3bdde08b1ee76d726fab05dc08,delegated,0x189c6e44345b877a2efbb8513caab4129bdf389ebb865ab96b134f225e51c994,50132267,420.60479,LI.FI diamond,260,0.01046237177058024
36,0x9f0d969ae5fa02f5e2442d03eed45dbc6d9c9c01,plain,0xe71cc5a12a3a596b5fe27614b49cf879e5ee91e8891a8f4a822fcfbde55e512d,50132208,300.049793,LI.FI diamond,38,0.03242089254989083
37,0x237c0b71e8f8e1bc11d6ce02778ad99b55ee30db,delegated,0xcff777cee726735bed3312db54136a237632be9f3ee038a15aa10c42ffe3fb79,50132016,1168.844716,LI.FI diamond,342,0.007659776921977877
38,0x55b679638464ecf9c94bbacea213d38c4ca9ac4f,delegated,0x3d0bb8779dbe29f85c6d3787a516f9f5084cce912aa11e1902915ce4c50561d7,50131907,7995.747853,LI.FI diamond,1934,0.006247486144464098
39,0x89ad99b040b2f1eefc09d290112ee9d38227a940,plain,0x9f557fdf6169e59f5ed19c3e97af8edc5074c71cfe3de14a5dd86b4b3527da17,50131516,400,LI.FI diamond,24,0.000965002134890268
40,0xc457ff8d72166a851aebc8824c4ddf517a55f336,delegated,0x8d189cfd42b64b15b9506082bf39fccc494bbc0d00ea82a98c0ba3bf443752b9,50131188,523.813657,LI.FI diamond,2385,0.1543564223946769
41,0x66b277092e8ad5c0f136e299265826b4f1539283,delegated,0x02f67d6003255959cbe3645d13d399a681276a558d1af13cf0217f0522a8f30d,50130777,292.773539,LI.FI diamond,8310,0.000174585199968629
42,0x03ffe3441e9d2c17de6bdcda4693080c95a3cced,plain,0x773c0d0b23d6c079efd62238c857942b976fc31808908593564977d216319a72,50130771,5004.279569,LI.FI diamond,195,0.005268472670223625
43,0xbe62749902f7028ee472d3c6ed15017a1235d95a,delegated,0xaf6a26291931de2cf502919e98bf95b3d070a655e9da3991c1460c2ffa80a46f,50130356,300,Uniswap universal router,160,0.000102387437258601
44,0x63dfeaa5d75b848a8c70e826681bc3475670fbad,delegated,0x552a439f00765980d011adfa1503821f389b9a11d3cdde56bd9dbd0342390903,50130189,1012,LI.FI diamond,1791,0.08970989139327781
45,0x6e3da452c90a563eb1a00e369c04770357b852d8,delegated,0x9a298f522c8a9d66175f7cecda5f263b7661e8b3a5ca61ec45afbc48e42140ba,50130159,814.431322,LI.FI diamond,80,0.36123007736086216
46,0x1a86b16bb84f4e2e8a69ce5c1500ea0365ffba52,delegated,0x1e301e554f519ff35556bc9a193a525e1eb91041edf2370085961155f9ec86be,50130006,4170,LI.FI diamond,54,0.003516639847399018
47,0xf8d54e1337b419228ecdc93ba4068462aa547419,delegated,0xe2380f91617e81bb1d8a56ec1e5a089a6df1b0bfe7ef3504fd9880bd518d5271,50129883,1000,LI.FI diamond,826,0.003604930715022946
