rank,address,wallet,buy_tx,buy_block,usdc,venue,nonce,eth
1,0x07d851eb602905405e9900d843015692b1c30810,delegated,0x0e6ba0063269520657fd7c171cfd0b99ec10c5976abd6ddb332107b6e101d158,50146333,400,LI.FI diamond,240,0.018338009031087343
2,0x6655145ae40d912d84b0c003b708505abac6ddfb,delegated,0x424662e3c25a6485d279e876e3027de4519303f02823ec519593e69f3d8d5a96,50145963,495,LI.FI diamond,6,0.005218529717852881
3,0xd4bc64e31c8f216b07f0156b76fc06da94b73d26,delegated,0x02909dfc2469053b2dbc904854a0f652d36068a76ea7310dbebb9d0dc0fbda69,50145617,740.697398,LI.FI diamond,160,0.019288404700824838
4,0xa65e2589fc852f560a5ec5e1855e36cb4ada41ee,delegated,0xd86d532cad55f8dedcd27f2528d7327883dd7ad3fa6d8c384f6c3cd9f41229c1,50145603,250,LI.FI diamond,24,0.003014774012550721
5,0xb117e4b25e9ba7294e108f5fd3f1efc60b240050,plain,0x06ad3e818799a6d01a4e663ebcd3532c538f8fffaeb05e504d7fbb77d1908203,50145439,775.61,LI.FI diamond,224,0.029901393681135032
6,0x097e136f48188db278c7323169c85c2743a658e4,delegated,0x78065296bccfc71f60692c1c226fb6b4a253699019c9f241b6a36c6fe8c20c2f,50086258,239.861841,LI.FI diamond,129,0.000675741694402295
7,0x18972f82dffd661e774326a6275297923ad1ac76,plain,0x5fb0574f74b44057423ad0a9e6654fec499da2d620847dea05bc2bf0ba3e36df,50085351,2666.049812,LI.FI diamond,794,0.011798585490034718
8,0x97c6d5b8dd11d05591b230642f9aa3b79080dde7,delegated,0x024c24bfe4f2eec2a5b4b7adae1ce997c24e554c2aa1046271beda3217950a8c,50084997,300,LI.FI diamond,5552,0.015911233345906155
9,0x4772a15b7fbf67aeb3e954d9ddbb8dd50147b077,delegated,0x35d9e730ce8c0aa20a966d07b929e41e8f91e9ab7d195f641289eaa99ff69f49,50084685,330,LI.FI diamond,1230,4.205749430867617
10,0x4ea1ac3958582fb64b1481dd5a4c8641165aeadc,delegated,0x5cf7815fe27b91caac00c49b037c718d8e48481dbfb360dec7853e94c5138349,50084421,1006,LI.FI diamond,122,0.17331901085909057
11,0x7e0e4552d4ed7f4b8ba95d98f858a0e356220c0b,delegated,0x0168dc303e650d69e6c013b1affb8fac8e99d787d0c33f052050be13b20e94c0,50083611,452,LI.FI diamond,8587,0.000609951371871354
12,0x8d1508993b2b423c81421e720dc6b78279bc4b8b,delegated,0x37f589945b4f421a90dadae2d09aca496c9d6376f9221da1a0c3463a4642178f,50083598,855.295143,LI.FI diamond,1095,0.012820400417923017
13,0x08d01ebad78c6dc1dffc7c244d90c1143e906feb,delegated,0x1a09bf07b9affdee5f4cd619b10b13cb040c1a308547b05bbfd59c64f3c20fc7,50082987,300,LI.FI diamond,2626,0.004356892057919573
14,0xf51fe86498b83538e902e160f2d80c34c7d6b816,plain,0xfbb351a121a33cde7f51f6dbe014a5a770c8aaf5dd37b26eda23bd60ba9e5c8e,50082855,250,LI.FI diamond,165,0.000575959791465535
15,0xd3a4078d2601e12e426cc584224b56c9f15e83fa,plain,0x87fe555f38a14ebb4050e45f285952f6f154de768df9ab08b6c01adb570c3797,50082627,900,LI.FI diamond,25,0.0013458484113199
16,0x4cc2c6e14c96aed6e99087c4477e4708a5db11a4,plain,0x986f0a2dba60059ff7f3af74588008cd52bc91e387c071b0326fc1adb5e7e13a,50082604,537.41471,LI.FI diamond,3121,0.002550206783422435
17,0x7543ae755256476f32ec2cb49c253c4e5d47b806,delegated,0x66ee0c211009eb138399cc3823db1e97ae3459083aadff7e583177d94f4414c8,50082199,680,LI.FI diamond,704,0.007612021906178402
18,0x36dcdbb4813d4868cfa7771ee84f5221c648a716,delegated,0x10230c491723e82930a15669423dcbc5c11f45163adaf9bd8ada064d27ae0991,50082055,299.56668,LI.FI diamond,8564,0.004138614749549589
19,0x39d2adc5e4157ba9a75e0dcd8fbe56a163dc0657,delegated,0x6cbf605da5de8e921947678b7aee097833245a90a9118b05af8dd994bf53b91d,50081624,408.850022,LI.FI diamond,60,0.006989994562594604
20,0xf65968fbf1894726ebb0106d9860e65dc855a476,plain,0xca5925777bbbe24f79eba2bd5a1a8a20c19d4eaeebb060126331405738b142eb,50081416,1000,LI.FI diamond,71,0.000574927055237167
21,0x383376d6553897bba6f25eda99e7f319add69974,delegated,0x83488a15e6f2b5f6761c21c531e7a179561b9f7ef1cbb2737770a22c034c5038,50081233,1200,LI.FI diamond,341,0.004172041366763454
22,0xb6f4ae08901ceb98eb6535e4a1f12ecb14359b79,plain,0x49147d4f23eb5aef122dfabe2d2931a155bb636bd192198ad96f60b9439ea8cc,50080725,593.024788,LI.FI diamond,3338,0.01117253386990398
23,0x9f429b55532198750b78bbc9c54cca7fc92267f2,delegated,0x06ab8e178ef83d0184878cff4a22b0103f9048ec3a3d441cb023138fbc4816be,50080468,300,LI.FI diamond,9,6.7186217283e-8
24,0x95340b60c91a377704330b72e7e68954f22c66a6,plain,0x31df1f1dfc3d1689f264023bb7e5c195751fd1f135d626fb1880a7daf699dea1,50079833,250,LI.FI diamond,2104,0.016274678002227948
25,0xfcfe6c67cf9699369b46ad9f7ac1bf6de340ae2a,delegated,0xc4fdc03f250a9804ca5ad65679f86fa3ea7e4a4d169f4ade78b37c2eb3024028,50079278,2830.630048,LI.FI diamond,4745,0.2511455624621894
26,0xbc0d56377dfaac08157348e709af20c8f799df37,delegated,0xce540e2619e4808034fa3458be5c4ffa870ebbdfdaa85c7f8feab9b68e31f958,50079106,3000,LI.FI diamond,588,0.000825197282219031
27,0x40a1f1635572f520b83b4dc553965a0f4a4668e2,delegated,0xc4c7b735ad899e964be7024aff456ab4b0aa4eff5dcd8566ce4c7cd16c8a0c9c,50078713,850,LI.FI diamond,5402,0.001196325375900734
28,0x289cbe55a3d67bea6fa4f9499ab25a2787964b5f,delegated,0x6909326590a51a97e7c7204d0401b987c770060a5d20e15f18608badfce3d27d,50078649,1200,LI.FI diamond,6,0.002070198424153071
29,0xad0d70834f2aca219662fdb17e80253ffb99f596,plain,0xa061f1ea66d81291ee914bdfc5f1bff076a858ecc14ba9b0c042baffa076b259,50078343,536.449201,LI.FI diamond,1736,0.001301652687752442
30,0x5414f9922204475acd3e78e33d012ddcb9737807,plain,0x1f5e6bf0c8944d33b2273ec003a02a1105c3bed0d1f32ea79d22b0f725464dab,50078128,1002.774868,LI.FI diamond,962,0.004884270837304405
31,0xe805313b0144d1b56fe45e91284be1f0e98b1ad9,delegated,0xfac2c96e42eae073f0f72536584625b743fa30e98817267644bbef36f3645d67,50077878,499.758506,Socket gateway,92,0.000104833097889134
32,0x88403a1c6b55104c9fadbd7db7f0380c7c60b007,delegated,0x6680e87f312c6571edc0b30f3eeac4f2d3bacc3b89b1575ef758d42347e6a67e,50076244,250,LI.FI diamond,33,0.003109172524029609
33,0xf165eb5edbc5e727b433c4dcf566846ee26d9c9f,delegated,0x837604a015c3b03a160da420619fe0fe70ae398361ec1452ca560a978868fb53,50075816,438.126458,LI.FI diamond,168,0.00137786765682247
34,0x6d6695bf127c63d12c1c379aa77594c464202a6d,delegated,0xa7c677d85994e74904369b3177fb98e13658b80c5cf81eaf9b100f7d915588dc,50074352,250,LI.FI diamond,4961,0.006164243340832007
35,0xc8d9b774f920382e9b69900c9506e7126d3ee899,delegated,0xf1dd9f735d3fcf580e134ed83e511ecabea02551ba6281318816b22e085f1e56,50073989,422,LI.FI diamond,4420,0.02109804957670239
36,0x47f4ca108251b5db01f840f1063dfa991b231a47,delegated,0x7d1ca4e68ce08246c6bdce1e71cf887b7d3428419544e4535e9c895b850c613d,50073592,500,LI.FI diamond,165,0.007624402444796999
37,0x55dd7d8db617e34c37b43db2e1ef154e2558c6df,plain,0x775413662477aaec2c6adaad97dea26fa34873f01e5e6b0562b16fead18f6abf,50073547,335,LI.FI diamond,3757,0.1135440975439114
38,0x27923aac4806a997bf350ea801f9b30e4e2f1c3a,plain,0x82f82ea0e42e40531870b0e4624c6b5d0facbdcd76fa007da763f144b4d6e066,50072751,5000,LI.FI diamond,27,0.0000553606197809
39,0x26d09cbc0657e9149c477c999cfcd19b782ec1e7,plain,0x79260d3f49dd954ae33207ddefd01196b81570a2b192da8fa778a7bac8f109c6,50072564,1475,LI.FI diamond,128,0.001941602366261225
