rank,address,wallet,buy_tx,buy_block,usdc,venue,nonce,eth
1,0x4c855204c4eed411a03d20ace673d08837a8f5ee,delegated,0x08ac8cf6ee61d15497bc1def61e951e1b91a04778a4cce1ee2afe80dba0a7549,50142836,0.103126,LI.FI diamond,9506,0.000222360084899694
2,0xd7b4af433b9c8565202a13f1daeb7ea003ac5363,delegated,0x688eacbd839201d0deabd807f669a3614bcb999a12b04a4f0e635df95ae6b9ae,50142822,19,LI.FI diamond,268,0.000070066955443437
3,0xb11433b6fc63bf0a5a854ee42a225d5fcac6efb9,delegated,0x1a9df6adfcb91f562794b3b03aff94d2bea9bfdafc5f35d6874bd1bed602b824,50142816,2,LI.FI diamond,113,0.000250524530703389
4,0x4eff2f739b1b0d5719662f9094a06a742ed99c43,plain,0xe0a08287a60fc5512b8b0788e9a816fb1e4ead21bf11b6947568010f88ca96fe,50142807,0.4,Uniswap universal router,1157,0.000774004833741811
5,0x786842fe74724150a0a64640916123b9cdd88beb,delegated,0x562161f04ea11fe4ebe94a9dca28c087bffab45eeb2bf7024a168856d24950f3,50142806,85,LI.FI diamond,7,5.77619937691e-7
6,0x1a4946845340e4aea4d7b8e0b6afc12ab293ea9c,plain,0x55bd42e7c0a47b95142078bbed949660eac353201e61f450679420bdf5548298,50142778,4.977819,Uniswap universal router,72,0.000429962020317679
7,0xea70aa26c59d16e7a650f3a977670fa0b5867eef,delegated,0x5b21b8bb00d5196a761e7a569500ea5a3307d3c11c924bbce2a4094d7ec3f43d,50142755,1.14512,Uniswap universal router,1112,0.000824947051166288
8,0x11648ec6e43e80b704ac974a1232e52602fc59e9,plain,0xf6b42ca40f0cf9d33e891d7f7ca8ec903862d6fb1387b8a2d35ff6dc07563dbe,50142737,0.254491,LI.FI diamond,8,0.00004061544836828
9,0x4ccfe7c78b8bfbe868098109093576eab20d239a,delegated,0x66f176e667411d21ada47689ab985a36b6312b1be4f9f69ff714bfa5f8e3e3de,50142729,200,LI.FI diamond,21,0.000133351412030518
10,0x4446adc0b8136ffc55ddb7a488ba5509ace2a5ef,plain,0x10223baaca62b61d4ad534bcd53ad6c7e39dc738ae1871498c72b5a477e07b15,50142723,2.628478,1inch v5,407,0.01899311161344753
11,0x7e9636f85ecd30bf9485e1d6ce03f00bba294638,delegated,0x3852505a56f527838dfa5b6743427f247cc12d690b1e2054584b77830892059b,50142712,3.07,LI.FI diamond,70,0.000133282540092167
12,0x7c26bd38d2c6d340359f5113bb83a8aeba4563d3,delegated,0xbfb05140fb436cd3a7b1d53f6d9e5ddf355f336560cb06bfff99b3ebcb421da3,50142687,15.508871,LI.FI diamond,795,0.00244524741164367
13,0x1258b7cbdf93863e3b0e43c9c2a5d7ad527a6b3e,plain,0x61db12530e1162049528db3dec34fa0db7729107a5ad5cc0fcea28ecf6a4b12c,50142683,1,Uniswap universal router,460,0.000520894273379115
14,0xdded700e72d4a6734f598c3055307ad80b85279f,delegated,0x4749ced749034775e67dee72f73159024c9ed60a7728b9d758dab638238cbbd3,50142681,5.610593,LI.FI diamond,67,0.003856118112600862
15,0xb9bdf1119052f645a8c8b4b223fa14c332a90f09,plain,0x0b2ff95fe6e2f6ef5b3ca7acf4c326ad8645390317669863cbce657dd0ea5307,50142672,120,LI.FI diamond,70,0.002482357270846732
16,0xe0fbedd9ff33136ceceb24d13d7ba664e8a947e2,delegated,0xcf220e7b60af4d72317b0254628522bca79d16d2768f1238b89007be2dce7e43,50142665,5,LI.FI diamond,303,0.000006137569323243
17,0xf3142ac12fade0eca7f961b1da24910e80ad9f5e,plain,0xb6d14e9f4db081e4d388a825e15b95b7655236fdea3aa1056e15d226af32423f,50142582,0.070259,LI.FI diamond,161,0.001054367212819807
18,0xfab2c82ee3af3a26a5659e8644a8ccb25404204a,delegated,0x3f5b5da8be16620aebe05d8ab4ecf93a38683b70f688d8f87bf5d5fe5476cb8d,50142560,6.966203,LI.FI diamond,347,0.000498839896081271
19,0x3c8f6d1559d1e2e4f48d51b4bc5fdb5c783a8940,delegated,0x17bbd524d6a94f094eeb3d2fd1aa7bbf4b76ea654ad5e535cb39f3ce878713aa,50142514,250,LI.FI diamond,723,0.004439739683920646
20,0xf368ec1e69332e843058281f8652a362e565d27c,plain,0xbf73508096701301d0cc48e530c0fff17b7f1e1d40615c8216fbce94d996b416,50142466,0.03,LI.FI diamond,58,0.000310171782922669
21,0xd678aa4909b73dc264f66edee1e22075e055bb3c,delegated,0x7769f7f9d5fb6caabd62699899df206c295c3013a7fb6431270fb871beff886c,50142445,50,LI.FI diamond,1655,0.003073611604985976
22,0xaadccd10fe856c2ee723268067d64a732b218571,plain,0x35c1b3eee2a216b3c0c3fbdca70418630ec7a1c78b48723cec912633922873f8,50142436,20,LI.FI diamond,254,0.003145600008491103
23,0x1a28f22f423a05aeac2bfecbd89f1da32fe313a9,delegated,0x45fec1a5c1038652a7f6ec6a4217ccd842835fabf7e055acbae0c61f38fdd6b0,50142434,2601.577802,LI.FI diamond,616,0.00001011171639305
24,0x0bbbcf976e4d8a4ee27aaef0d7431e19d4c30b04,plain,0xdf222d3a8a73a4027849eded930a79b48bc3e330b8ea549cf71ce23dff4de822,50142421,5,LI.FI diamond,3575,0.010193198155443265
25,0x1c1114c9c9d3a08bde578be59ff6cb141ee4b288,delegated,0x397427cde54bb52930b240999690f8cd6a7f742d23f269417c1e643f8b096bdf,50142395,5.000919,LI.FI diamond,6,0.000290689284433283
26,0x5c3fbff051b2fdc863602c96cab483fd9a31fc76,delegated,0xd547d940069e2bcb56fa8c1b6957051bf7a41ab0cb7e819e269d860a0dbd6686,50142387,1,LI.FI diamond,172,0.002687785774449048
27,0xd6f14caf5db98820628e0acd3e3a7009b96c8861,delegated,0x03d3949f5921d7267f703a38865a4ef0b23889679070f8c00768059862184552,50142381,18.021226,Socket gateway,6078,0.019335395829290204
28,0x2d460bc9d544bd0fc08bb16d23e0849a13dd6095,plain,0x61c3b9e435c3923ffd2d2a09b678a3cc2a6f5a9e2f0304732cd07b424bcc5aef,50142351,3.582513,Uniswap universal router,2272,0.00372207434169376
29,0xb65814f30085a7510b8dccd902909455d2d112cb,plain,0xeb4fa616acf748223ec7f5e66d9f10f20a9617d5bcd8bc38fbd0a13ca923c282,50142338,2025,LI.FI diamond,836,0.007924202258260689
30,0x2d7f5212e93740a74b99d8a0799b4514061dbda5,plain,0xf9fb43f565becdcf3afd87732d046bfc42b0f5c30174dc692075ad1ce29cf919,50142327,588.570586,LI.FI diamond,4087,0.34981178853730244
31,0x61f731d33f38a1ab542eb04ac1a16ea462cf3ec2,delegated,0x0f218d4e10d0c788391927104d5c59d1b162aa2f98f625cb47693c8789610050,50142323,0.05,LI.FI diamond,339,0.003654712612122357
32,0x5348d967296b3a76fc1940637299d0e6ff9f52f5,delegated,0x609b07cb820a946288999430bfd72fa4b87bea58e53b6e59983acf510c3ca680,50142313,9,LI.FI diamond,228,0.000115463880249035
33,0x1eb968823e82e95ed43cb8e4a5f27c9a23315a39,plain,0x68772e9fafab3508519c1695096fb7831a46dede82eed971156e24b20b29bce5,50142302,100,LI.FI diamond,7,0.000182403848722993
34,0x6817a589eea463054a5dda0e938f92d6eafff8fe,plain,0x562b5e5c39fbc32813939e1d11a8e4cb860155d9e75bea314471f8bd2be1ab1b,50142228,3.1232,Uniswap universal router,283,0.000024532940985032
35,0x106e6e9e9b819416963dbea243d020c4089f4aeb,plain,0xc8046ac9b95d70436ae8a2a0b48b83977e2a829b8d0b07eb1d89a683075acdfa,50142210,41.21,LI.FI diamond,746,0.04512204080494758
36,0xdf051b4f9eec425bb74806b5a26522b32aa0d09d,plain,0xbb4aaffc48d7ae26ea208adca33331451a2f79b3d3fceab4e5c2ebe99c8f7066,50142188,5,LI.FI diamond,61,0.004240168755908571
37,0x23d2cdafeb8f37464f5ad8cc2a25f5c2710556e5,delegated,0x51dd14b9a8cde3cc28db3cc7bcf9a480fee1f8f9cbf53865b5eda109130f00aa,50142185,1.069202,LI.FI diamond,1046,0.002363322561949361
38,0xdadd0a026d5aa117f7a41197a38d851ed9325a22,delegated,0xa181aa5270af294648d45799fec5c3a4ed1fc41fe7e4003e0bfcf4a4e65d737f,50142173,78.05,LI.FI diamond,83,0.000818938645807742
39,0x9c68adae98bff93e7c4f31fab49cf977713d313b,delegated,0x85c7c1168ef576686ce85e5502f18726937d4cc5164d1816c586853c21683e9c,50142167,1,LI.FI diamond,18,0.001186866218784393
40,0x9955348dab8ecc5e3ee0abda973bc2e258577c7e,plain,0xf37e68cd55f4cb11be129652bf944324fc12936ff1f4b02b5650f5686926bae8,50142167,2.7617,LI.FI diamond,33,0.000001018867563854
41,0xeec90260e0309c76fda293a2093ef2d690570219,delegated,0xf10e9ae638bcbbdfc8f0d1bf33dff790c74a3b8a15b56d2e4dcb3f021c1c5b8b,50142163,49.5,Socket gateway,7,0.003211178089619283
42,0x55ae3b6f0bb034363804b5c25ec2360e91590df3,plain,0x75569ae28f1dab8ba0e064f1aff6a771860a120c62420b8d7d71b6cfe36e1c28,50142140,51.283963,LI.FI diamond,19,0.00106968407605374
43,0xd627158727cd253cba31d86a3da31d2baa00ff07,delegated,0x5fb494a59e124a2080bbc863d04319577f4d062c6b2f07d7c315a7d6b26d1e3e,50142117,27.482317,LI.FI diamond,142,0.05679271018414593
44,0xea1825919ff711d42600c019b244d35172c11061,delegated,0xf29e01057b939eba07e984d7726bc2c84b3c3a1a5f2d8096b5887eab777599a6,50142101,2,LI.FI diamond,931,0.000513393775686557
45,0xa745b4fcc97c23432fb0a63382485d056201b4f5,delegated,0x6801ce5d3d2e965e039461ea7731805a5b5ebf06dbd5021610a375197cfe899d,50142048,0.39,LI.FI diamond,300,0.000010923668098201
