address,status,balance_byko,acquired_via_pool,ever_qualified,is_eoa,note
0x001b3f996cd3d240dc0738996058a38c0d7041b0,not-counted,227,false,false,true,"gift from founder, never bought"
0x003df61aa894d482067c256d512c6980b7c567f2,not-counted,227,false,false,true,"gift from founder, never bought"
0x008a5c0c1cd35ec313d505a0830bc668119dc697,not-counted,227,false,false,true,"gift from founder, never bought"
0x00be9049af879c2e93d1437e85053db8ae9c005e,not-counted,227,false,false,true,"gift from founder, never bought"
0x01011a90648ae83cae081bbaca9c362272faacd3,not-counted,227,false,false,true,"gift from founder, never bought"
0x01083e285456e8e12606869df2fb75fd305706c3,not-counted,227,false,false,true,"gift from founder, never bought"
0x013cd9186f5b93472b586bd68a2d3e358ba25032,none,0,false,false,true,"no current balance, never qualified"
0x019436ed8313116343ceaaf26cf0e990b349d50b,not-counted,227,false,false,true,"gift from founder, never bought"
0x01d60e7e6fdc7abb58f9565ec479c2b1136a4c78,not-counted,227,false,false,true,"gift from founder, never bought"
0x020f734228821b0710f57ac690ac7f733bde702c,not-counted,227,false,false,true,"gift from founder, never bought"
0x023c1a01108c35b72852a5cd4e0bb5123da9657e,not-counted,227,false,false,true,"gift from founder, never bought"
0x0258a3b56ada6c5b1110efb02d56464b8e835b64,not-counted,227,false,false,true,"gift from founder, never bought"
0x02dd4285ad38ea93d021ca854016a839b0b2a6ca,excluded,257182.926454,false,false,,"pool"
0x03906d9ce98bbbc8b7242ecf9448a4b4d2310705,not-counted,227,false,false,true,"gift from founder, never bought"
0x03945f94c45cc74e6c608c21db4c658e403ec8b7,not-counted,227,false,false,true,"gift from founder, never bought"
0x03ffe3441e9d2c17de6bdcda4693080c95a3cced,not-counted,227,false,false,true,"gift from founder, never bought"
0x04254b5cffbc1be88f6bba449833574afd7579aa,not-counted,227,false,false,true,"gift from founder, never bought"
0x0464dad8e6bb2a4a7b118fa4bebec7023d91c8c0,not-counted,227,false,false,true,"gift from founder, never bought"
0x04c8d897be7e463e48bcd06ba90e3ba108d098f6,not-counted,227,false,false,true,"gift from founder, never bought"
0x04dcbd50f376704db5079927b806eea22223f571,not-counted,227,false,false,true,"gift from founder, never bought"
0x057372f96f14531e7dbdd04c65a19d31e59758fe,not-counted,227,false,false,true,"gift from founder, never bought"
0x061cea9e6a1c83478d98c40a93b48d560f1b160f,not-counted,227,false,false,true,"gift from founder, never bought"
0x06e6baa61a5da1e4469fca5dea3eb68324255e20,excluded,0,false,false,false,"contract"
0x07d851eb602905405e9900d843015692b1c30810,not-counted,227,false,false,true,"gift from founder, never bought"
0x07fdee300ac4dccabf899cf815904bd166615a73,not-counted,227,false,false,true,"gift from founder, never bought"
0x0821b6baaa54a3c1c876deca1fdc25bc3fec515a,not-counted,227,false,false,true,"gift from founder, never bought"
0x08d01ebad78c6dc1dffc7c244d90c1143e906feb,not-counted,227,false,false,true,"gift from founder, never bought"
0x08d0d1d9d58675fea6e36670d85a9e8dad89f465,not-counted,227,false,false,true,"gift from founder, never bought"
0x08ed40e6736a56f7e6d64057a4fad7181f241275,not-counted,227,false,false,true,"gift from founder, never bought"
0x090da0ee7db13fc04467a0750f267522106f5574,not-counted,227,false,false,true,"gift from founder, never bought"
0x097e136f48188db278c7323169c85c2743a658e4,not-counted,227,false,false,true,"gift from founder, never bought"
0x09ad820aac5779683b481c4674208a4e1b024afa,excluded,0,false,false,false,"contract"
0x0a2854fbbd9b3ef66f17d47284e7f899b9509330,excluded,0,false,false,false,"contract"
0x0a64234ebea2cd29385c4150b019b5f44b90485b,not-counted,227,false,false,true,"gift from founder, never bought"
0x0a7eaee9d588c0af4eac758c3bd6b1e69e4d8f3b,not-counted,227,false,false,true,"gift from founder, never bought"
0x0a8de98d467effaa9ef602f43cbfe2813b77efae,not-counted,227,false,false,true,"gift from founder, never bought"
0x0b018f24e6a0326e404a72b1b13ce3ad78bd10c8,not-counted,227,false,false,true,"gift from founder, never bought"
0x0b065f6d13f79ad0c3f1797d8a8aeebb5bca76ca,not-counted,227,false,false,true,"gift from founder, never bought"
0x0b0f9f02d9aef778433dea88c4bec341d6c86834,not-counted,227,false,false,true,"gift from founder, never bought"
0x0b98a8fdae5256c5728674f4f1e57ebd1f7b414a,not-counted,227,false,false,true,"gift from founder, never bought"
0x0bac7cf080994a85456466f7bf88729ceeb1c97f,not-counted,227,false,false,true,"gift from founder, never bought"
0x0bbbcf976e4d8a4ee27aaef0d7431e19d4c30b04,not-counted,227,false,false,true,"gift from founder, never bought"
